NU_CSN_MSN;NU_CSN_FSI;NU_PTN_STN;ALPHA_MSN_GPe;ALPHA_MSN_GPi;ALPHA_STN_GPe;ALPHA_STN_GPi;ALPHA_STN_MSN;ALPHA_STN_FSI;ALPHA_GPe_STN;ALPHA_GPe_GPi;ALPHA_GPe_MSN;ALPHA_GPe_FSI;ALPHA_GPe_GPe;ALPHA_FSI_MSN;ALPHA_FSI_FSI;ALPHA_MSN_MSN;ALPHA_CMPf_MSN;ALPHA_CMPf_FSI;ALPHA_CMPf_STN;ALPHA_CMPf_GPe;ALPHA_CMPf_GPi;NU_PTN_MSN;NU_PTN_FSI;DIST_CTX_MSN;DIST_CTX_FSI;DIST_CTX_STN;DIST_MSN_GPe;DIST_MSN_GPi;DIST_STN_GPe;DIST_STN_GPi;DIST_STN_MSN;DIST_STN_FSI;DIST_GPe_STN;DIST_GPe_GPi;DIST_GPe_MSN;DIST_GPe_FSI;DIST_GPe_GPe;DIST_FSI_MSN;DIST_FSI_FSI;DIST_MSN_MSN;DIST_CMPf_MSN;DIST_CMPf_FSI;DIST_CMPf_STN;DIST_CMPf_GPe;DIST_CMPf_GPi;DIST_CTXPT_MSN;DIST_CTXPT_FSI;THETA_MSN;THETA_FSI;THETA_STN;THETA_GPe;THETA_GPi;FSI_MAX
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
341.33;290.43;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4580.61;1372.82;57.76;31.56;139.45;9.35;5;0.96;0.82;0.84;0.51;0.49;0.43;0.45;0.16;0.26;0.28;0.1;0.02;0.36;0;0.12;0.32;0.83;0.42;0;0.45;0.02;0.43;0.99;0.83;30;16.37;25.43;9.2;5.85;209.49
333.07;262.34;258.79;171.4;210.13;373.7;233.02;43.09;91.06;19.04;16.23;0;230.03;37.48;4927.92;115.66;209.78;4916.19;1123.61;76.15;79.22;139.4;5;5;1;0.8;0.88;0.59;0.57;0.24;0.57;0.38;0.43;0.58;0;0;0.57;0;0.18;0.16;0.71;0.27;0;0.47;0;0.75;0.98;0.67;29.19;16.84;26.06;11.01;5.22;228.07
317.62;489.48;261.52;171.03;208.98;291.75;165.43;108.62;0;19.38;16.22;92.62;482.73;37.51;2172.33;139.92;508.57;2227.74;755.5;57.77;45.9;139.47;5.41;5;0.97;0.9;0.75;0.55;0.3;0.53;0.53;0.02;0.28;0.36;0.15;0.13;0.22;0.01;0.05;0.51;0.88;0.55;0.17;0.27;0.41;0.39;0.81;0.95;29.91;11.79;25.04;8.49;5;200
281.65;461.88;258.79;202.74;287.42;427.87;233.02;0;56.07;19.04;16.23;5.73;424.8;37.48;4689.51;26.03;626.57;4916.19;1066.76;76.15;79.22;130.8;5;5;0.95;0.81;0.92;0.57;0.58;0.31;0.58;0.17;0.37;0.6;0.09;0.09;0.61;0;0.16;0.1;0.66;0.3;0;0.54;0;0.59;0.97;0.64;28.48;16.12;25.73;10.88;5;227.7
317.62;289.49;261.52;171.03;166.98;291.75;159.69;95.96;0;19.38;16.22;15.04;385.06;37.51;2995.01;63.9;461.06;1999.56;703.38;57.77;45.9;139.47;5;5;0.93;0.94;0.74;0.59;0.55;0.34;0.45;0;0.24;0.28;0;0.26;0.31;0;0.07;0.55;0.83;0.59;0.05;0.47;0.39;0.6;0.76;1;28.74;11.72;24.56;6.87;5;200
341.33;250.1;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4443.54;1037.92;57.76;32.9;130.8;9.35;52.79;0.97;0.82;0.91;0.49;0.48;0.38;0.54;0.14;0.3;0.5;0.05;0;0.49;0;0.15;0.2;0.76;0.44;0;0.46;0.04;0.37;1;0.85;29.96;16.37;25.46;8.87;5.85;209.49
341.33;290.43;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4580.61;1372.82;57.76;31.56;139.45;9.35;5;0.96;0.82;0.84;0.51;0.49;0.43;0.45;0.16;0.26;0.28;0.1;0.02;0.36;0;0.12;0.32;0.83;0.42;0;0.45;0.02;0.43;0.99;0.83;30;16.37;25.43;9.2;5.85;209.49
342.05;447.55;258.79;171.4;210.13;427.87;233.02;0;91.06;19.04;16.23;326.55;0;37.48;4780.51;33.53;298.85;4934.35;797.17;76.15;89.2;139.4;5;5;0.99;0.8;0.89;0.59;0.59;0.23;0.48;0.27;0.36;0.58;0;0.24;0.68;0;0.17;0.06;0.69;0.26;0;0.48;0.04;0.46;1;0.67;29.61;20.23;26.06;10.62;5.66;252.82
333.07;379.17;258.79;171.4;210.13;373.7;233.02;43.09;91.06;19.04;16.23;0;230.03;37.48;4927.92;115.66;209.78;4665.54;1028.9;76.15;79.22;139.4;5;5;1;0.8;0.88;0.59;0.57;0.24;0.57;0.21;0.43;0.56;0;0;0.61;0;0.18;0.12;0.71;0.36;0.03;0.42;0.01;0.64;1;0.63;28.95;17.23;24.67;10.92;5.19;230.38
333.07;262.34;258.79;171.4;210.13;373.7;233.02;43.09;91.06;19.04;16.23;0;230.03;37.48;4927.92;115.66;209.78;4916.19;1123.61;76.15;79.22;139.4;5;5;1;0.8;0.88;0.59;0.57;0.24;0.57;0.38;0.43;0.58;0;0;0.57;0;0.18;0.16;0.71;0.27;0;0.47;0;0.75;0.98;0.67;29.19;16.84;26.06;11.01;5.22;228.07
354.9;270.22;258.79;171.4;191.93;453.32;233.02;0;91.06;19.04;16.23;0;635.03;37.48;3031.4;120.47;347.82;3651.78;1105.63;57.76;31.56;139.45;5.53;5;0.88;0.93;0.84;0.5;0.49;0.49;0.54;0.1;0.18;0.29;0.14;0;0.28;0;0.06;0.39;0.84;0.34;0;0.36;0.18;0.43;1;0.85;30;13.99;25.67;9.17;5.85;205.16
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
333.07;379.17;258.79;171.4;210.13;373.7;233.02;43.09;91.06;19.04;16.23;0;230.03;37.48;4927.92;115.66;209.78;4665.54;1028.9;76.15;79.22;139.4;5;5;1;0.8;0.88;0.59;0.57;0.24;0.57;0.21;0.43;0.56;0;0;0.61;0;0.18;0.12;0.71;0.36;0.03;0.42;0.01;0.64;1;0.63;28.95;17.23;24.67;10.92;5.19;230.38
341.33;250.1;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4443.54;1037.92;57.76;32.9;130.8;9.35;52.79;0.97;0.82;0.91;0.49;0.48;0.38;0.54;0.14;0.3;0.5;0.05;0;0.49;0;0.15;0.2;0.76;0.44;0;0.46;0.04;0.37;1;0.85;29.96;16.37;25.46;8.87;5.85;209.49
354.9;270.22;258.79;171.4;191.93;453.32;233.02;0;91.06;19.04;16.23;0;635.03;37.48;3031.4;120.47;347.82;3651.78;1105.63;57.76;31.56;139.45;5.53;5;0.88;0.93;0.84;0.5;0.49;0.49;0.54;0.1;0.18;0.29;0.14;0;0.28;0;0.06;0.39;0.84;0.34;0;0.36;0.18;0.43;1;0.85;30;13.99;25.67;9.17;5.85;205.16
342.05;447.55;258.79;171.4;210.13;427.87;233.02;0;91.06;19.04;16.23;326.55;0;37.48;4780.51;33.53;298.85;4934.35;797.17;76.15;89.2;139.4;5;5;0.99;0.8;0.89;0.59;0.59;0.23;0.48;0.27;0.36;0.58;0;0.24;0.68;0;0.17;0.06;0.69;0.26;0;0.48;0.04;0.46;1;0.67;29.61;20.23;26.06;10.62;5.66;252.82
341.33;290.43;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4580.61;1372.82;57.76;31.56;139.45;9.35;5;0.96;0.82;0.84;0.51;0.49;0.43;0.45;0.16;0.26;0.28;0.1;0.02;0.36;0;0.12;0.32;0.83;0.42;0;0.45;0.02;0.43;0.99;0.83;30;16.37;25.43;9.2;5.85;209.49
317.62;489.48;261.52;171.03;208.98;291.75;165.43;108.62;0;19.38;16.22;92.62;482.73;37.51;2172.33;139.92;508.57;2227.74;755.5;57.77;45.9;139.47;5.41;5;0.97;0.9;0.75;0.55;0.3;0.53;0.53;0.02;0.28;0.36;0.15;0.13;0.22;0.01;0.05;0.51;0.88;0.55;0.17;0.27;0.41;0.39;0.81;0.95;29.91;11.79;25.04;8.49;5;200
341.33;290.43;258.79;171.4;205.98;453.32;238.38;0;91.06;19.04;16.23;0;571.37;37.48;3537.72;120.47;353.44;4202.38;1037.92;57.76;142.45;139.45;9.35;5;0.96;0.92;0.84;0.51;0.49;0.49;0.54;0.16;0.26;0.29;0.1;0;0.36;0;0.16;0.39;0.8;0.46;0;0.48;0.18;0.43;1;0.91;30;19.59;25.67;9.73;5.85;209.49
341.33;290.43;258.79;171.4;205.98;453.32;238.38;0;91.06;19.04;16.23;0;571.37;37.48;3537.72;120.47;353.44;4202.38;1037.92;57.76;142.45;139.45;9.35;5;0.96;0.92;0.84;0.51;0.49;0.49;0.54;0.16;0.26;0.29;0.1;0;0.36;0;0.16;0.39;0.8;0.46;0;0.48;0.18;0.43;1;0.91;30;19.59;25.67;9.73;5.85;209.49
317.62;489.48;261.52;171.03;208.98;291.75;165.43;108.62;0;19.38;16.22;92.62;482.73;37.51;2172.33;139.92;508.57;2227.74;755.5;57.77;45.9;139.47;5.41;5;0.97;0.9;0.75;0.55;0.3;0.53;0.53;0.02;0.28;0.36;0.15;0.13;0.22;0.01;0.05;0.51;0.88;0.55;0.17;0.27;0.41;0.39;0.81;0.95;29.91;11.79;25.04;8.49;5;200
341.33;290.43;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4580.61;1372.82;57.76;31.56;139.45;9.35;5;0.96;0.82;0.84;0.51;0.49;0.43;0.45;0.16;0.26;0.28;0.1;0.02;0.36;0;0.12;0.32;0.83;0.42;0;0.45;0.02;0.43;0.99;0.83;30;16.37;25.43;9.2;5.85;209.49
354.9;270.22;258.79;171.4;191.93;453.32;233.02;0;91.06;19.04;16.23;0;635.03;37.48;3031.4;120.47;347.82;3651.78;1105.63;57.76;31.56;139.45;5.53;5;0.88;0.93;0.84;0.5;0.49;0.49;0.54;0.1;0.18;0.29;0.14;0;0.28;0;0.06;0.39;0.84;0.34;0;0.36;0.18;0.43;1;0.85;30;13.99;25.67;9.17;5.85;205.16
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
341.33;290.43;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4580.61;1372.82;57.76;31.56;139.45;9.35;5;0.96;0.82;0.84;0.51;0.49;0.43;0.45;0.16;0.26;0.28;0.1;0.02;0.36;0;0.12;0.32;0.83;0.42;0;0.45;0.02;0.43;0.99;0.83;30;16.37;25.43;9.2;5.85;209.49
333.07;262.34;258.79;171.4;210.13;373.7;233.02;43.09;91.06;19.04;16.23;0;230.03;37.48;4927.92;115.66;209.78;4916.19;1123.61;76.15;79.22;139.4;5;5;1;0.8;0.88;0.59;0.57;0.24;0.57;0.38;0.43;0.58;0;0;0.57;0;0.18;0.16;0.71;0.27;0;0.47;0;0.75;0.98;0.67;29.19;16.84;26.06;11.01;5.22;228.07
354.9;270.22;258.79;171.4;191.93;453.32;233.02;0;91.06;19.04;16.23;0;635.03;37.48;3031.4;120.47;347.82;3651.78;1105.63;57.76;31.56;139.45;5.53;5;0.88;0.93;0.84;0.5;0.49;0.49;0.54;0.1;0.18;0.29;0.14;0;0.28;0;0.06;0.39;0.84;0.34;0;0.36;0.18;0.43;1;0.85;30;13.99;25.67;9.17;5.85;205.16
317.62;289.49;261.52;171.03;166.98;291.75;159.69;95.96;0;19.38;16.22;15.04;385.06;37.51;2995.01;63.9;461.06;1999.56;703.38;57.77;45.9;139.47;5;5;0.93;0.94;0.74;0.59;0.55;0.34;0.45;0;0.24;0.28;0;0.26;0.31;0;0.07;0.55;0.83;0.59;0.05;0.47;0.39;0.6;0.76;1;28.74;11.72;24.56;6.87;5;200
341.33;250.1;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4443.54;1037.92;57.76;32.9;130.8;9.35;52.79;0.97;0.82;0.91;0.49;0.48;0.38;0.54;0.14;0.3;0.5;0.05;0;0.49;0;0.15;0.2;0.76;0.44;0;0.46;0.04;0.37;1;0.85;29.96;16.37;25.46;8.87;5.85;209.49
354.9;270.22;258.79;171.4;191.93;453.32;233.02;0;91.06;19.04;16.23;0;635.03;37.48;3031.4;120.47;347.82;3651.78;1105.63;57.76;31.56;139.45;5.53;5;0.88;0.93;0.84;0.5;0.49;0.49;0.54;0.1;0.18;0.29;0.14;0;0.28;0;0.06;0.39;0.84;0.34;0;0.36;0.18;0.43;1;0.85;30;13.99;25.67;9.17;5.85;205.16
342.05;252.45;258.79;171.4;210.13;427.87;216.61;0;91.06;19.04;16.23;0;234.71;37.48;4362.05;115.66;209.78;4921.21;1108.76;76.15;79.22;130.8;5;5;1;0.8;0.94;0.6;0.59;0.33;0.59;0.06;0.41;0.52;0.13;0.06;0.72;0.01;0.19;0.16;0.73;0.31;0;0.46;0;0.49;0.97;0.68;29.98;17.22;26.06;10.83;6.2;224.51
317.62;489.48;261.52;171.03;208.98;291.75;165.43;108.62;0;19.38;16.22;92.62;482.73;37.51;2172.33;139.92;508.57;2227.74;755.5;57.77;45.9;139.47;5.41;5;0.97;0.9;0.75;0.55;0.3;0.53;0.53;0.02;0.28;0.36;0.15;0.13;0.22;0.01;0.05;0.51;0.88;0.55;0.17;0.27;0.41;0.39;0.81;0.95;29.91;11.79;25.04;8.49;5;200
317.62;289.49;261.52;171.03;166.98;291.75;159.69;95.96;0;19.38;16.22;15.04;385.06;37.51;2995.01;63.9;461.06;1999.56;703.38;57.77;45.9;139.47;5;5;0.93;0.94;0.74;0.59;0.55;0.34;0.45;0;0.24;0.28;0;0.26;0.31;0;0.07;0.55;0.83;0.59;0.05;0.47;0.39;0.6;0.76;1;28.74;11.72;24.56;6.87;5;200
342.05;447.55;258.79;171.4;210.13;427.87;233.02;0;91.06;19.04;16.23;326.55;0;37.48;4780.51;33.53;298.85;4934.35;797.17;76.15;89.2;139.4;5;5;0.99;0.8;0.89;0.59;0.59;0.23;0.48;0.27;0.36;0.58;0;0.24;0.68;0;0.17;0.06;0.69;0.26;0;0.48;0.04;0.46;1;0.67;29.61;20.23;26.06;10.62;5.66;252.82
342.05;252.45;258.79;171.4;210.13;427.87;216.61;0;91.06;19.04;16.23;0;234.71;37.48;4362.05;115.66;209.78;4921.21;1108.76;76.15;79.22;130.8;5;5;1;0.8;0.94;0.6;0.59;0.33;0.59;0.06;0.41;0.52;0.13;0.06;0.72;0.01;0.19;0.16;0.73;0.31;0;0.46;0;0.49;0.97;0.68;29.98;17.22;26.06;10.83;6.2;224.51
342.05;447.55;258.79;171.4;210.13;427.87;233.02;0;91.06;19.04;16.23;326.55;0;37.48;4780.51;33.53;298.85;4934.35;797.17;76.15;89.2;139.4;5;5;0.99;0.8;0.89;0.59;0.59;0.23;0.48;0.27;0.36;0.58;0;0.24;0.68;0;0.17;0.06;0.69;0.26;0;0.48;0.04;0.46;1;0.67;29.61;20.23;26.06;10.62;5.66;252.82
281.65;461.88;258.79;202.74;287.42;427.87;233.02;0;56.07;19.04;16.23;5.73;424.8;37.48;4689.51;26.03;626.57;4916.19;1066.76;76.15;79.22;130.8;5;5;0.95;0.81;0.92;0.57;0.58;0.31;0.58;0.17;0.37;0.6;0.09;0.09;0.61;0;0.16;0.1;0.66;0.3;0;0.54;0;0.59;0.97;0.64;28.48;16.12;25.73;10.88;5;227.7
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
341.33;250.1;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4443.54;1037.92;57.76;32.9;130.8;9.35;52.79;0.97;0.82;0.91;0.49;0.48;0.38;0.54;0.14;0.3;0.5;0.05;0;0.49;0;0.15;0.2;0.76;0.44;0;0.46;0.04;0.37;1;0.85;29.96;16.37;25.46;8.87;5.85;209.49
317.62;489.48;261.52;171.03;208.98;291.75;165.43;108.62;0;19.38;16.22;92.62;482.73;37.51;2172.33;139.92;508.57;2227.74;755.5;57.77;45.9;139.47;5.41;5;0.97;0.9;0.75;0.55;0.3;0.53;0.53;0.02;0.28;0.36;0.15;0.13;0.22;0.01;0.05;0.51;0.88;0.55;0.17;0.27;0.41;0.39;0.81;0.95;29.91;11.79;25.04;8.49;5;200
342.05;250.1;258.79;171.4;210.13;427.87;233.02;0;91.06;19.04;16.23;0;352.97;37.48;4362.05;115.66;209.78;4965.4;1053.21;76.15;79.22;130.8;5;5;0.95;0.82;0.97;0.48;0.59;0.3;0.59;0.16;0.41;0.58;0.13;0.06;0.58;0.01;0.19;0.16;0.77;0.27;0.06;0.46;0;0.48;0.98;0.7;30;16.23;26.06;10.46;6.2;217.06
354.9;270.22;258.79;171.4;191.93;453.32;233.02;0;91.06;19.04;16.23;0;635.03;37.48;3031.4;120.47;347.82;3651.78;1105.63;57.76;31.56;139.45;5.53;5;0.88;0.93;0.84;0.5;0.49;0.49;0.54;0.1;0.18;0.29;0.14;0;0.28;0;0.06;0.39;0.84;0.34;0;0.36;0.18;0.43;1;0.85;30;13.99;25.67;9.17;5.85;205.16
341.33;290.43;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4580.61;1372.82;57.76;31.56;139.45;9.35;5;0.96;0.82;0.84;0.51;0.49;0.43;0.45;0.16;0.26;0.28;0.1;0.02;0.36;0;0.12;0.32;0.83;0.42;0;0.45;0.02;0.43;0.99;0.83;30;16.37;25.43;9.2;5.85;209.49
341.33;290.43;258.79;171.4;205.98;453.32;238.38;0;91.06;19.04;16.23;0;571.37;37.48;3537.72;120.47;353.44;4202.38;1037.92;57.76;142.45;139.45;9.35;5;0.96;0.92;0.84;0.51;0.49;0.49;0.54;0.16;0.26;0.29;0.1;0;0.36;0;0.16;0.39;0.8;0.46;0;0.48;0.18;0.43;1;0.91;30;19.59;25.67;9.73;5.85;209.49
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
341.33;250.1;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4443.54;1037.92;57.76;32.9;130.8;9.35;52.79;0.97;0.82;0.91;0.49;0.48;0.38;0.54;0.14;0.3;0.5;0.05;0;0.49;0;0.15;0.2;0.76;0.44;0;0.46;0.04;0.37;1;0.85;29.96;16.37;25.46;8.87;5.85;209.49
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
354.9;270.22;258.79;171.4;209.55;453.32;233.02;3.96;53.95;19.04;16.23;0;635.03;37.48;2699;124.15;485.35;2747.67;805.47;57.76;64;139.45;5.41;5.04;0.8;0.96;0.79;0.49;0.51;0.53;0.54;0.11;0.16;0.32;0.09;0.03;0.28;0;0;0.39;0.88;0.36;0.14;0.3;0.41;0.4;0.8;1;30;11.67;25.6;7.98;6.27;200
341.33;250.1;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;39.32;209.78;4979.57;1172.2;57.76;32.9;130.8;9.35;52.79;0.95;0.82;0.95;0.55;0.48;0.33;0.54;0.14;0.3;0.5;0;0;0.49;0;0.15;0.2;0.76;0.44;0;0.43;0.04;0.46;0.96;0.83;29.58;16.37;25.46;8.87;5.17;209.49
341.33;290.43;258.79;171.4;205.98;453.32;238.38;0;91.06;19.04;16.23;0;571.37;37.48;3537.72;120.47;353.44;4202.38;1037.92;57.76;142.45;139.45;9.35;5;0.96;0.92;0.84;0.51;0.49;0.49;0.54;0.16;0.26;0.29;0.1;0;0.36;0;0.16;0.39;0.8;0.46;0;0.48;0.18;0.43;1;0.91;30;19.59;25.67;9.73;5.85;209.49
317.62;489.48;261.52;171.03;208.98;291.75;165.43;108.62;0;19.38;16.22;92.62;482.73;37.51;2172.33;139.92;508.57;2227.74;755.5;57.77;45.9;139.47;5.41;5;0.97;0.9;0.75;0.55;0.3;0.53;0.53;0.02;0.28;0.36;0.15;0.13;0.22;0.01;0.05;0.51;0.88;0.55;0.17;0.27;0.41;0.39;0.81;0.95;29.91;11.79;25.04;8.49;5;200
317.62;489.48;261.52;171.03;208.98;291.75;165.43;108.62;0;19.38;16.22;92.62;482.73;37.51;2172.33;139.92;508.57;2227.74;755.5;57.77;45.9;139.47;5.41;5;0.97;0.9;0.75;0.55;0.3;0.53;0.53;0.02;0.28;0.36;0.15;0.13;0.22;0.01;0.05;0.51;0.88;0.55;0.17;0.27;0.41;0.39;0.81;0.95;29.91;11.79;25.04;8.49;5;200
342.05;250.1;258.79;171.4;210.13;427.87;233.02;0;91.06;19.04;16.23;73.22;177.53;37.48;4927.92;33.53;571.15;4934.35;891.73;76.15;79.22;139.4;5;5;0.96;0.82;0.88;0.59;0.59;0.3;0.5;0.17;0.41;0.52;0;0.14;0.57;0;0.19;0.07;0.64;0.27;0;0.46;0;0.5;0.98;0.67;29.09;16.23;26.06;10.88;5.34;209.49
317.62;289.49;261.52;171.03;166.98;291.75;159.69;95.96;0;19.38;16.22;15.04;385.06;37.51;2995.01;63.9;461.06;1999.56;703.38;57.77;45.9;139.47;5;5;0.93;0.94;0.74;0.59;0.55;0.34;0.45;0;0.24;0.28;0;0.26;0.31;0;0.07;0.55;0.83;0.59;0.05;0.47;0.39;0.6;0.76;1;28.74;11.72;24.56;6.87;5;200
317.62;289.49;261.52;171.03;166.98;291.75;159.69;95.96;0;19.38;16.22;15.04;385.06;37.51;2995.01;63.9;461.06;1999.56;703.38;57.77;45.9;139.47;5;5;0.93;0.94;0.74;0.59;0.55;0.34;0.45;0;0.24;0.28;0;0.26;0.31;0;0.07;0.55;0.83;0.59;0.05;0.47;0.39;0.6;0.76;1;28.74;11.72;24.56;6.87;5;200
317.62;289.49;261.52;171.03;166.98;291.75;159.69;95.96;0;19.38;16.22;15.04;385.06;37.51;2995.01;63.9;461.06;1999.56;703.38;57.77;45.9;139.47;5;5;0.93;0.94;0.74;0.59;0.55;0.34;0.45;0;0.24;0.28;0;0.26;0.31;0;0.07;0.55;0.83;0.59;0.05;0.47;0.39;0.6;0.76;1;28.74;11.72;24.56;6.87;5;200
333.07;379.17;258.79;171.4;210.13;373.7;233.02;43.09;91.06;19.04;16.23;0;230.03;37.48;4927.92;115.66;209.78;4665.54;1028.9;76.15;79.22;139.4;5;5;1;0.8;0.88;0.59;0.57;0.24;0.57;0.21;0.43;0.56;0;0;0.61;0;0.18;0.12;0.71;0.36;0.03;0.42;0.01;0.64;1;0.63;28.95;17.23;24.67;10.92;5.19;230.38
317.62;289.49;261.52;171.03;166.98;291.75;159.69;95.96;0;19.38;16.22;15.04;385.06;37.51;2995.01;63.9;461.06;1999.56;703.38;57.77;45.9;139.47;5;5;0.93;0.94;0.74;0.59;0.55;0.34;0.45;0;0.24;0.28;0;0.26;0.31;0;0.07;0.55;0.83;0.59;0.05;0.47;0.39;0.6;0.76;1;28.74;11.72;24.56;6.87;5;200
281.65;461.88;258.79;202.74;287.42;427.87;233.02;0;56.07;19.04;16.23;5.73;424.8;37.48;4689.51;26.03;626.57;4916.19;1066.76;76.15;79.22;130.8;5;5;0.95;0.81;0.92;0.57;0.58;0.31;0.58;0.17;0.37;0.6;0.09;0.09;0.61;0;0.16;0.1;0.66;0.3;0;0.54;0;0.59;0.97;0.64;28.48;16.12;25.73;10.88;5;227.7
342.05;250.1;258.79;171.4;210.13;427.87;233.02;0;91.06;19.04;16.23;73.22;177.53;37.48;4927.92;33.53;571.15;4934.35;891.73;76.15;79.22;139.4;5;5;0.96;0.82;0.88;0.59;0.59;0.3;0.5;0.17;0.41;0.52;0;0.14;0.57;0;0.19;0.07;0.64;0.27;0;0.46;0;0.5;0.98;0.67;29.09;16.23;26.06;10.88;5.34;209.49
342.05;252.45;258.79;171.4;210.13;427.87;216.61;0;91.06;19.04;16.23;0;234.71;37.48;4362.05;115.66;209.78;4921.21;1108.76;76.15;79.22;130.8;5;5;1;0.8;0.94;0.6;0.59;0.33;0.59;0.06;0.41;0.52;0.13;0.06;0.72;0.01;0.19;0.16;0.73;0.31;0;0.46;0;0.49;0.97;0.68;29.98;17.22;26.06;10.83;6.2;224.51
341.33;290.43;258.79;171.4;205.98;427.87;233.02;0;91.06;19.04;16.23;0;571.37;37.48;3393.27;124.12;353.44;4580.61;1372.82;57.76;31.56;139.45;9.35;5;0.96;0.82;0.84;0.51;0.49;0.43;0.45;0.16;0.26;0.28;0.1;0.02;0.36;0;0.12;0.32;0.83;0.42;0;0.45;0.02;0.43;0.99;0.83;30;16.37;25.43;9.2;5.85;209.49
354.9;270.22;258.79;171.4;191.93;453.32;233.02;0;91.06;19.04;16.23;0;635.03;37.48;3031.4;120.47;347.82;3651.78;1105.63;57.76;31.56;139.45;5.53;5;0.88;0.93;0.84;0.5;0.49;0.49;0.54;0.1;0.18;0.29;0.14;0;0.28;0;0.06;0.39;0.84;0.34;0;0.36;0.18;0.43;1;0.85;30;13.99;25.67;9.17;5.85;205.16
